,state_id,county_name
0,0,Saguache
1,1,Jackson
2,2,Freeborn
3,3,East Baton Rouge
4,4,Monroe
5,5,Teton
6,6,Kent
7,7,Reno
8,8,Lincoln
9,9,Berkshire
10,10,Clay
11,1,Tulsa
12,11,Doña Ana
13,12,Carteret
14,13,Spartanburg
15,12,Lee
16,14,Washington
17,9,Worcester
18,6,Eaton
19,15,James City
20,4,Milwaukee
21,16,New Haven
22,17,Columbia
23,18,Stark
24,2,Redwood
25,17,Multnomah
26,2,Pine
27,19,Santa Cruz
28,11,Colfax
29,20,Chautauqua
30,2,Douglas
31,0,Alamosa
32,21,Summit
33,22,Brookings
34,23,Coconino
35,24,Carson City
36,25,Polk
37,26,El Paso
38,8,Laramie
39,27,Fayette
40,10,Warren
41,13,Greenwood
42,2,Hennepin
43,26,Bell
44,5,Jerome
45,17,Union
46,28,Kimball
47,10,Jackson
48,29,Anderson
49,2,Ramsey
50,24,Nye
51,10,Cooper
52,30,Covington
53,31,Crawford
54,19,Ventura County
55,32,Prairie
56,20,St. Lawrence
57,31,Cook
58,31,Peoria
59,18,Dickey
60,33,Pierce
61,0,Lake
62,25,Page
63,34,Delaware
64,35,Washington
65,15,Carroll
66,36,Lee
67,20,Livingston
68,37,Mercer
69,27,Wayne
70,38,Jones
71,15,Virginia Beach
72,33,Walla Walla
73,6,Houghton
74,20,Sullivan
75,30,Marshall
76,39,York
77,18,Rolette
78,19,Sonoma
79,24,White Pine
80,25,Jefferson
81,11,Union
82,40,Cumberland
83,15,King and Queen
84,35,Cache
85,21,Darke
86,22,Tripp
87,27,Ware
88,22,Harding
89,28,Hall
90,20,Queens
91,36,Pinellas
92,41,St. Mary's
93,30,Tallapoosa
94,18,Mountrail
95,40,Aroostook
96,26,Limestone
97,36,Martin
98,22,Roberts
99,2,Otter Tail
100,26,Robertson
101,25,Sioux
102,32,Washington
103,20,Allegany
104,42,Cumberland
105,19,Riverside
106,2,Yellow Medicine
107,15,Augusta
108,2,Becker
109,11,Otero
110,24,Clark
111,3,Jefferson
112,33,Kitsap
113,23,Mohave
114,28,Burt
115,24,Washoe
116,26,Terrell
117,7,Sedgwick
118,5,Power
119,30,Walker
120,19,Santa Clara
121,15,Campbell
122,25,Wright
123,19,San Diego
124,26,Potter
125,39,Bedford
126,31,DuPage
127,25,Marshall
128,29,Carter
129,21,Greene
130,18,Towner
131,27,Ben Hill
132,7,Lyon
133,4,Door
